cluster,player,playerId,season,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age
4,Rajon Rondo,rondora01,2010,0.51,0.21,0.62,4.44,9.80,2.33,0.14,3.04,13.70,23
4,Russell Westbrook,westbru01,2010,0.42,0.28,0.78,4.89,7.95,1.32,0.41,3.27,16.12,21
4,Deron Williams,willide01,2010,0.47,1.26,0.80,3.99,10.50,1.26,0.21,3.32,18.67,25
4,Raymond Felton,feltora01,2011,0.43,1.55,0.81,3.59,8.33,1.67,0.15,2.95,15.52,26
4,Steve Nash,nashst01,2011,0.49,1.08,0.91,3.47,11.40,0.64,0.05,3.53,14.75,36
4,Chris Paul,paulch01,2011,0.46,0.89,0.88,4.09,9.78,2.35,0.06,2.21,15.85,25
4,John Wall,walljo01,2011,0.41,0.49,0.77,4.59,8.32,1.75,0.51,3.78,16.39,20
4,John Wall,walljo01,2012,0.42,0.05,0.79,4.55,8.03,1.44,0.86,3.86,16.30,21
4,Jrue Holiday,holidjr01,2013,0.43,1.17,0.75,4.22,8.01,1.58,0.41,3.74,17.73,22
4,Chris Paul,paulch01,2013,0.48,1.09,0.89,3.74,9.69,2.41,0.14,2.27,16.94,27
4,Rajon Rondo,rondora01,2013,0.48,0.32,0.65,5.58,11.05,1.84,0.24,3.89,13.74,26
4,Ty Lawson,lawsoty01,2014,0.43,1.16,0.80,3.47,8.76,1.61,0.16,3.23,17.58,26
4,Chris Paul,paulch01,2014,0.47,1.26,0.86,4.32,10.69,2.48,0.06,2.34,19.11,28
4,Ty Lawson,lawsoty01,2015,0.44,0.93,0.73,3.12,9.60,1.23,0.12,2.47,15.24,27
4,Chris Paul,paulch01,2015,0.49,1.70,0.90,4.59,10.22,1.90,0.18,2.32,19.07,29
4,John Wall,walljo01,2015,0.45,0.82,0.79,4.63,10.03,1.75,0.57,3.85,17.56,24
16,Bill Cartwright,cartwbi01,1980,0.55,0.00,0.80,8.85,2.01,0.59,1.23,2.71,21.72,22
